City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,279.51,88,75,2.24,RU,1697574926
1,at taj,24.2049,23.2857,294.25,30,0,4.73,LY,1697574926
2,hilo,19.7297,-155.09,301.62,73,75,4.12,US,1697574850
3,waitangi,-43.9535,-176.5597,284.72,76,8,1.79,NZ,1697574927
4,vila franca do campo,37.7167,-25.4333,294.2,99,80,5.26,PT,1697574927
5,nouadhibou,20.931,-17.0347,298.14,73,4,7.2,MR,1697574927
6,usinsk,65.9939,57.5281,275.41,99,100,7.15,RU,1697574928
7,edinburgh of the seven seas,-37.0676,-12.3116,285.78,74,100,4.91,SH,1697574928
8,gizo,-8.103,156.8419,300.83,80,95,2.11,SB,1697574929
9,talitsa,56.8804,60.0213,282.45,71,69,5.55,RU,1697574929
10,yellowknife,62.456,-114.3525,274.44,100,100,1.54,CA,1697574700
11,new castle,41.0037,-80.347,284.42,77,100,2.06,US,1697574786
12,punta arenas,-53.15,-70.9167,283.21,66,75,10.8,CL,1697574730
13,fuling,29.7022,107.3919,293.72,73,56,1.61,CN,1697574931
14,at-bashi,41.1702,75.8106,279.15,60,96,3.02,KG,1697574931
15,ilulissat,69.2167,-51.1,257.16,72,20,2.06,GL,1697574744
16,puerto aysen,-45.4,-72.7,287.46,83,99,0.65,CL,1697574932
17,blackmans bay,-43.0167,147.3167,280.66,78,46,1.47,AU,1697574932
18,puerto ayora,-0.7393,-90.3518,304.13,87,98,2.68,EC,1697574933
19,udachny,66.4167,112.4,263.67,93,87,5.34,RU,1697574933
20,bredasdorp,-34.5322,20.0403,288.77,86,0,1.62,ZA,1697574651
21,huayin,34.5675,110.0921,287.74,70,48,1.72,CN,1697574934
22,sitka,57.0531,-135.33,286.09,54,100,8.75,US,1697574934
23,mata-utu,-13.2816,-176.1745,300.31,79,98,9.28,WF,1697574935
24,port-aux-francais,-49.35,70.2167,275.31,74,97,7.62,TF,1697574935
25,bethel,41.3712,-73.414,290.38,65,75,2.57,US,1697574936
26,tympaki,35.0729,24.7685,292.72,86,12,0.45,GR,1697574936
27,iskateley,67.6803,53.1512,274.27,89,100,4.02,RU,1697574732
28,al ghayzah,16.2079,52.176,299.12,78,23,2.87,YE,1697574937
29,grytviken,-54.2811,-36.5092,274.26,78,59,5.28,GS,1697574938
30,sisimiut,66.9395,-53.6735,266.58,87,83,2.85,GL,1697574938
31,adamstown,-25.066,-130.1015,295.48,86,100,4.36,PN,1697574939
32,longyearbyen,78.2186,15.6401,268.06,63,75,4.63,SJ,1697574877
33,port elizabeth,-33.918,25.5701,290.31,93,0,3.6,ZA,1697574939
34,ola,59.5833,151.2833,271.16,58,0,5.88,RU,1697574940
35,kirakira,-10.4544,161.9205,299.99,78,100,2.02,SB,1697574940
36,atafu village,-8.5421,-172.5159,301.54,74,98,4.21,TK,1697574941
37,puerto natales,-51.7236,-72.4875,285.4,54,75,9.26,CL,1697574941
38,san antonio de pale,-1.4014,5.6325,298.66,79,32,2.56,GQ,1697574941
39,college,64.8569,-147.8028,275.12,83,75,1.54,US,1697574942
40,vilyuchinsk,52.9306,158.4028,280.33,85,98,1.37,RU,1697574942
41,iqaluit,63.7506,-68.5145,272.0,58,100,2.06,CA,1697574942
42,alofi,-19.0595,-169.9187,297.09,64,75,9.77,NU,1697574943
43,nema,57.5067,50.5011,276.66,82,100,10.19,RU,1697574943
44,sandnessjoen,66.0217,12.6316,276.21,70,0,4.63,NO,1697574944
45,einsiedeln,47.1167,8.75,280.07,72,100,2.0,CH,1697574944
46,invercargill,-46.4,168.35,282.05,77,97,2.24,NZ,1697574944
47,saipan,15.1355,145.701,301.54,89,40,5.14,MP,1697574945
48,mount isa,-20.7333,139.5,295.02,20,0,4.12,AU,1697574945
49,hawaiian paradise park,19.5933,-154.9731,301.5,76,75,4.12,US,1697574945
50,papatowai,-46.5619,169.4708,284.25,59,92,6.72,NZ,1697574946
51,kariba,-16.5167,28.8,298.05,65,4,3.22,ZW,1697574946
52,suhbaatar,50.2314,106.2078,276.32,52,99,0.33,MN,1697574947
53,kavieng,-2.5744,150.7967,301.11,73,80,1.44,PG,1697574947
54,salalah,17.0151,54.0924,300.2,69,20,2.06,OM,1697574734
55,kuta,-8.7233,115.1723,299.12,100,20,2.24,ID,1697574948
56,villa gesell,-37.2639,-56.973,284.03,58,0,6.39,AR,1697574948
57,olonkinbyen,70.9221,-8.7187,273.43,75,100,2.23,SJ,1697574949
58,thompson,55.7435,-97.8558,288.24,58,40,2.06,CA,1697574702
59,lebu,-37.6167,-73.65,287.47,68,0,5.28,CL,1697574949
60,whitehorse,60.7161,-135.0538,282.58,78,75,5.66,CA,1697574767
61,hamilton,39.1834,-84.5333,287.44,60,100,3.6,US,1697574832
62,marquette,46.5333,-87.6335,282.5,69,6,0.89,US,1697574818
63,pisco,-13.7,-76.2167,294.18,78,40,6.69,PE,1697574951
64,port mathurin,-19.6833,63.4167,297.02,82,3,3.95,MU,1697574951
65,wailua homesteads,22.0669,-159.378,300.79,64,0,1.79,US,1697574952
66,sechura,-5.5569,-80.8222,299.75,58,34,7.54,PE,1697574952
67,nova vicosa,-17.8919,-39.3719,297.88,77,38,5.39,BR,1697574952
68,gotzis,47.3331,9.6331,285.4,92,96,0.51,AT,1697574953
69,nelson bay,-32.7167,152.15,291.48,76,94,3.58,AU,1697574953
70,bac lieu,9.285,105.7244,298.05,89,43,3.15,VN,1697574954
71,lagunas,-5.2269,-75.6753,305.58,51,57,0.8,PE,1697574954
72,bilibino,68.0546,166.4372,258.13,100,100,0.92,RU,1697574954
73,fort bragg,35.139,-79.006,293.61,46,75,2.06,US,1697574943
74,alexandria,31.2156,29.9553,294.45,63,0,2.9,EG,1697574955
75,revda,56.801,59.9303,281.29,74,78,5.57,RU,1697574956
76,kamloops,50.6665,-120.3192,289.7,49,75,7.2,CA,1697574714
77,hermanus,-34.4187,19.2345,289.49,89,0,2.5,ZA,1697574956
78,st. john's,47.5649,-52.7093,279.8,85,75,4.02,CA,1697574957
79,seven pagodas,12.6264,80.1722,302.07,75,81,3.63,IN,1697574957
80,greenville,35.6127,-77.3663,291.56,57,100,4.12,US,1697574958
81,ushuaia,-54.8,-68.3,285.96,55,0,5.66,AR,1697574714
82,jamestown,42.097,-79.2353,283.92,93,100,3.09,US,1697574813
83,moanda,-1.5575,13.2178,295.09,99,100,1.15,GA,1697574959
84,dapaong,10.8639,0.205,300.53,65,93,2.42,TG,1697574960
85,terbuny,52.1389,38.2789,276.79,69,7,6.5,RU,1697574960
86,nagqu,31.5,92.0,270.69,82,100,1.15,CN,1697574961
87,saint-philippe,-21.3585,55.7679,297.92,82,93,2.65,RE,1697574961
88,humaita,-7.5061,-63.0208,310.8,27,93,1.54,BR,1697574962
89,stanley,54.868,-1.6985,281.32,95,20,2.57,GB,1697574962
90,porto novo,6.4965,2.6036,298.05,89,100,1.1,BJ,1697574743
91,papao,-17.75,-149.55,299.97,82,90,8.26,PF,1697574963
92,nova sintra,14.8667,-24.7167,298.63,71,0,4.85,CV,1697574964
93,albany,42.6001,-73.9662,287.39,67,97,1.81,US,1697574965
94,pyhaselka,62.4333,29.9667,275.59,95,100,3.14,FI,1697574965
95,kingston,17.997,-76.7936,305.68,69,20,5.14,JM,1697574966
96,uturoa,-16.7333,-151.4333,299.44,80,99,8.33,PF,1697574967
97,kalach-na-donu,48.691,43.5264,278.42,59,1,3.6,RU,1697574967
98,al burayqah,30.4062,19.5739,296.52,68,0,3.02,LY,1697574968
99,lospalos,-8.5186,127.0025,292.93,94,27,1.52,TL,1697574968
100,kutum,14.2,24.6667,297.35,21,68,5.61,SD,1697574968
101,tazovsky,67.4667,78.7,276.74,97,100,5.49,RU,1697574969
